outcome_class,project_name,hash,commit_message
1,ant,7bc745a289cf68cb2eba647bbfba9e9ec06eb771,post-process generated javadocs as workaround for CVE-2013-1571 - based on Maven patch by Uwe Schindler - PR 55132
1,ant,08284bc7aa7d066544b30974231240c9b73597eb,[CVE-2012-2098] merge bzip2 edge case improvement from Commons Compress
1,ambari-logsearch,1811d0bad0b5e3691036c027cef24e289640e704,AMBARI-24431. Infra Manager / Log Search: Fix Jetty CVE-2018-12536. (#2002)
1,ambari-logsearch,37db2229747c0e58e95e14a787895af7308f90a2,AMBARI-24422. Log Feeder: upgrade guava version (because of CVE-2018-10237) (#1992)
1,mod_perl,82b8d8bfe88a8878e1efb793c69548e1eb9eed55,"Fix t/perl/hash_attack.t to work with Perl 5.14.4, 5.16.3 etc, which contain a fix for CVE-2013-1667 (memory exhaustion with arbitrary hash keys). This resolves rt.perl.org #116863, from where the patch by Hugo van der Sanden was taken (with a minor edit in a comment by the committer). Tested by the committer on Windows 7 x64 with VC++ 2010 using Perls 5.14.3, 5.14.4, 5.16.2 and 5.16.3-RC1, all against Apache 2.2.22."
1,maven,2b336ff150b12aeae9bd0d2a61f1e8d02504492f,[MNG-6312] Update Maven Wagon dependency  o Upgrade wagon version to 3.0.0 based on CVE-2015-6748    in shaded jsoup.
1,mirrormanager2,776cc7bf708268e542ebfd1c897d704a53126a82,Merge pull request #173 from fedora-infra/CVE-2016-1000003
1,apex-core,805aba30b5b84e39cf6dda8c6d5a805a3c880c60,APEXCORE-815 Whitelist CVE-2016-6811
1,ofbiz,c6f6801737c06ea19b648fdda2d7b03d4a78a3be,Updates Shiro to 1.2.5 (CVE-2016-4437) - https://issues.apache.org/jira/browse/OFBIZ-7373
1,ofbiz,dfce427e08676d9a18960b848bf9f20d908fb92e,"Updates OWASP dependency check files. Several changes, notably: * removes all Tomcat libs suppresses (in catalina\lib) and rather adds a sole suppress based on CVEs (current Tomcat version not concerned) * same for jsp-api-2.3 * a new vulnerability is identified: CVE-2015-1776 for hadoop libs (in solr component)"
1,ofbiz,cf0ecf43703fc5f598dd07d04f11289d91d803eb,In framework/base/lib/ updates Xalan from 2.7.1 to 2.7.2 because of CVE-2014-0107 (was fixed at XALANJ-2435) - https://issues.apache.org/jira/browse/OFBIZ-6905 This implies to update also Xerces from 2.9.1 to 2.11.0 and also xml-apis from 2.9.1 to 1.4.01 (2.9.1 was a wrong version number. It was actually part of the Xerces 2.9.1 package but I was unable to find the real version number then at https://xerces.apache.org/xerces2-j/releases.html)
1,ofbiz,b4c27b012cbaa4e88249b627269f3a03b9ad4db9,OFBIZ-6568: upgraded Groovy to the latest version (2.4.5). [CVE-2016-2170] The infamous Java serialization vulnerability
1,ofbiz,55aaa6934e455ba13a800921d491992c1292d0dd,Updates commons-collections lib from 3.2.1 to 3.2.2 [CVE-2016-2170] The infamous Java serialization vulnerability
1,ofbiz,c3cc66f1da0d54f918179c342280219024f64bc2,The description attribute of the display-entity element is now escaped to prevent the risk of an XSS attack. [CVE-2015-3268] Stored Cross-Site Scripting Vulnerability affecting the description attribute of the display-entity element because it was not escaped.
1,ofbiz,0187743b1ef3c847a2d6b8687070c909316936a6,Removed support for runtime nested expressions in FlexibleStringExpander.java. This fixes the vulnerability CVE-2013-2250
1,ofbiz,6501116835ea7429c54dc0723cb3d380612a2eae,"The content rendered in the Webtools view log"" screen is now rendered from the ofbiz.log file rather then the ofbiz.html file in order to provide more control on the html code rendered in the screen. This fixes the vulnerability CVE-2013-2137"""
1,ofbiz,ec9b4d668aa2211379588e33190936597ae562d0,CVE-2013-0177: The Image.alt is now escaped to prevent the risk of an XSS attack.
1,ofbiz,5caeb525634157e10bde176f33afc60bbe3e9ef0,"CVE-2012-3506: Unlike descriptions and values, tooltips were not encoded, thanks to Scott for spotting it (r1377382 was flawed)"
1,ofbiz,47f63d8126ba5c6bd1461d45d8c10b59f30d8f2d,"Upgraded Ant from 1.8.3 to 1.8.4 and Commons Compress"" from 1.4 to 1.4.1 in order to protect the system from vulnerability reported in CVE-2012-2098: Apache Commons Compress and Apache Ant denial of service vulnerability."""
1,ofbiz,0c326065819cf11e5f493e6c54656a32d21c6ad4,CVE-2012-1621: Prevent user submitted data from being streamed directly back to the browser when the content map-key is not found.  Log a warning instead.
1,ofbiz,e3035e2a93ea80a24c1653591dba72a03efc9f56,CVE-2012-1622: Disable support for nested scripts in FlexibleStringExpander.
1,ofbiz,08f833532f9abfd7e7f75b4b7ca096702ac97046,CVE-2012-1621: Ensure that collections (except for maps) are properly encoded for html when rendered using toString() e.g.
