"outcome_class","project_name","hash","commit_message","files_changed","insertions","deletions"
"1","ant","7bc745a289cf68cb2eba647bbfba9e9ec06eb771","post-process generated javadocs as workaround for CVE-2013-1571 - based on Maven patch by Uwe Schindler - PR 55132","6","171","3"
"1","ant","08284bc7aa7d066544b30974231240c9b73597eb","[CVE-2012-2098] merge bzip2 edge case improvement from Commons Compress","4","1310","573"
"1","ambari-logsearch","1811d0bad0b5e3691036c027cef24e289640e704","AMBARI-24431. Infra Manager / Log Search: Fix Jetty CVE-2018-12536. (#2002)","1","1","1"
"1","ambari-logsearch","37db2229747c0e58e95e14a787895af7308f90a2","AMBARI-24422. Log Feeder: upgrade guava version (because of CVE-2018-10237) (#1992)","3","3","3"
"1","mod_perl","82b8d8bfe88a8878e1efb793c69548e1eb9eed55","Fix t/perl/hash_attack.t to work with Perl 5.14.4, 5.16.3 etc, which contain a fix for CVE-2013-1667 (memory exhaustion with arbitrary hash keys). This resolves rt.perl.org #116863, from where the patch by Hugo van der Sanden was taken (with a minor edit in a comment by the committer). Tested by the committer on Windows 7 x64 with VC++ 2010 using Perls 5.14.3, 5.14.4, 5.16.2 and 5.16.3-RC1, all against Apache 2.2.22.","2","29","9"
"1","maven","2b336ff150b12aeae9bd0d2a61f1e8d02504492f","[MNG-6312] Update Maven Wagon dependency  o Upgrade wagon version to 3.0.0 based on CVE-2015-6748    in shaded jsoup.","1","1","1"
"1","mirrormanager2","776cc7bf708268e542ebfd1c897d704a53126a82","Merge pull request #173 from fedora-infra/CVE-2016-1000003","2","10","5"
"1","apex-core","805aba30b5b84e39cf6dda8c6d5a805a3c880c60","APEXCORE-815 Whitelist CVE-2016-6811","2","5","1"
"1","ofbiz","c6f6801737c06ea19b648fdda2d7b03d4a78a3be","Updates Shiro to 1.2.5 (CVE-2016-4437) - https://issues.apache.org/jira/browse/OFBIZ-7373","5","3","3"
"1","ofbiz","dfce427e08676d9a18960b848bf9f20d908fb92e","Updates OWASP dependency check files. Several changes, notably: * removes all Tomcat libs suppresses (in catalina\lib) and rather adds a sole suppress based on CVEs (current Tomcat version not concerned) * same for jsp-api-2.3 * a new vulnerability is identified: CVE-2015-1776 for hadoop libs (in solr component)","2","6202","8128"
"1","ofbiz","cf0ecf43703fc5f598dd07d04f11289d91d803eb","In framework/base/lib/ updates Xalan from 2.7.1 to 2.7.2 because of CVE-2014-0107 (was fixed at XALANJ-2435) - https://issues.apache.org/jira/browse/OFBIZ-6905 This implies to update also Xerces from 2.9.1 to 2.11.0 and also xml-apis from 2.9.1 to 1.4.01 (2.9.1 was a wrong version number. It was actually part of the Xerces 2.9.1 package but I was unable to find the real version number then at https://xerces.apache.org/xerces2-j/releases.html)","7","0","0"
"1","ofbiz","b4c27b012cbaa4e88249b627269f3a03b9ad4db9","OFBIZ-6568: upgraded Groovy to the latest version (2.4.5). [CVE-2016-2170] The infamous Java serialization vulnerability","7","7","3"
"1","ofbiz","55aaa6934e455ba13a800921d491992c1292d0dd","Updates commons-collections lib from 3.2.1 to 3.2.2 [CVE-2016-2170] The infamous Java serialization vulnerability","4","3","3"
